AIRPORT,TR_AIRPORT_NAME,TR_CITY_NAME,TR_STATE_NAME,TR_COUNTRY_NAME,TR_WAC,BEGIN_DATE_SOURCE,END_DATE,AIRPORT_REGION,LAT_DEGREES,LAT_MINUTES,LAT_SECONDS,LAT_HEMISPHERE,LATITUDE,LON_DEGREES,LON_MINUTES,LON_SECONDS,LON_HEMISPHERE,LONGITUDE,AIRPORT_ID
ZKB,"Kasaba Bay, Zambia: Kasaba Bay Airport","Kasaba Bay, Zambia",,Zambia,597,9/1/75,,Zambia,8,31,20,S,-8.52222222,30,39,35,E,30.65972222,430200
ZIH,"Zihuatanejo, Mexico: Zihuatanejo Airport","Zihuatanejo, Mexico",,Mexico,148,1/1/50,1/31/03,Mexico,17,38,36,N,17.64333333,101,33,19,W,-101.5552778,998200
ZIH,"Ixtapa/Zihuatanejo, Mexico: Ixtapa/Zihuatanejo Internacional","Ixtapa/Zihuatanejo, Mexico",,Mexico,148,12/1/83,,Mexico,17,36,35,N,17.60972222,101,29,30,W,-101.4916667,399200
ZIG,"Ziguinchor, Senegal: Ziguinchor Airport","Ziguinchor, Senegal",,Senegal,569,1/1/50,,Senegal,12,33,22,N,12.55611111,16,16,33,W,-16.27583333,997900
ZHA,"Zhanjiang, China: Zhanjiang Airport","Zhanjiang, China",,China,713,3/1/04,,,21,12,57,N,21.21583333,110,21,32,E,110.3588889,997450
ZGS,"Gethsemani, Canada: Gethsemani Airport","Gethsemani, Canada",,Canada,941,1/1/50,,Quebec,50,20,0,N,50.33333333,60,40,0,W,-60.66666666,316800
ZGM,"Ngoma, Zambia: Ngoma Airport","Ngoma, Zambia",,Zambia,597,1/1/50,,Zambia,15,57,30,S,-15.95833333,25,56,4,E,25.93444444,637900
ZGF,"Grand Forks, Canada: Grand Forks Canada","Grand Forks, Canada",,Canada,906,12/1/74,,British Columbia,49,1,0,N,49.01666666,118,26,0,W,-118.4333333,331915
ZFN,"Fort Norman, Canada: Fort Norman Airport","Fort Norman, Canada",,Canada,931,1/1/50,,Northwest Territories,64,55,0,N,64.91666666,125,34,0,W,-125.5666667,295900
ZFM,"Fort Mcpherson, Canada: Fort Mcpherson Airport","Fort Mcpherson, Canada",,Canada,931,1/1/50,,Northwest Territories,67,24,28,N,67.40777777,134,51,37,W,-134.8602778,295000
